name,lags,adf_p_la,adf_p_lh,both_I1,trace_r0,crit_r0,trace_r1,crit_r1,rej_r0,rej_r1,valid_coint
China Shenhua,10,0.8227074186222925,0.8281814339532638,True,10.90282714115734,15.4943,0.20888377427029858,3.8415,False,False,False
China Coal Energy,2,0.5628589589527353,0.8093430481456174,True,14.5511248013208,15.4943,0.8872399776199388,3.8415,False,False,False
Yanzhou Coal,1,0.6950536215052616,0.7329298193498511,True,10.879662189416345,15.4943,1.1257154356102328,3.8415,False,False,False
Huaneng Power,8,0.11050203985356555,0.4327634072706075,True,18.57046213870109,15.4943,6.569195078950491,3.8415,True,True,False
Zijin Mining,5,0.9339427897997992,0.9492408010165997,True,9.155896626269957,15.4943,0.0680666089229656,3.8415,False,False,False
Chalco,1,0.264854730685527,0.4128508333314096,True,18.612340553435242,15.4943,3.923172361185183,3.8415,True,True,False
Jiangxi Copper,5,0.5050172742042295,0.825974563384959,True,18.80385097601864,15.4943,1.4521253413616009,3.8415,True,False,True
Anhui Conch Cement,8,0.5668240191783874,0.6688466617843829,True,11.8322888375354,15.4943,2.3759425834540426,3.8415,False,False,False
Angang Steel,10,0.4066475682154565,0.7028446278176348,True,14.598999963303255,15.4943,1.9811411875908609,3.8415,False,False,False
Maanshan Iron,2,0.0578460795457704,0.2691268705923351,True,14.301147240282493,15.4943,3.9737011254319676,3.8415,False,True,False
Shanghai Petrochemical,6,0.5034207129121171,0.8320395067327773,True,12.947719266335541,15.4943,0.5156653645402476,3.8415,False,False,False
CRRC,6,0.13767526972132493,0.4308796825497556,True,13.249576381650584,15.4943,3.8871917409357146,3.8415,False,True,False
China Railway Group,8,0.061673325119912054,0.1558701342263376,True,18.514401622504646,15.4943,5.991795560249394,3.8415,True,True,False
China Comm. Construction,5,0.10147469960778255,0.6360380907485632,True,14.230995642672301,15.4943,2.2240521160383007,3.8415,False,False,False
Weichai Power,7,0.7915303146350604,0.8189042874554076,True,21.647574219330735,15.4943,0.9774924781407243,3.8415,True,False,True
Guangshen Railway,6,0.4268390061491621,0.5570498452754299,True,16.508225542588736,15.4943,1.8601472323584407,3.8415,True,False,True
BYD,2,0.7041864619429374,0.7444432649116596,True,12.933644802689422,15.4943,1.0461854324928066,3.8415,False,False,False
Great Wall Motor,3,0.4193934585181438,0.1599597611181982,True,11.126546576438956,15.4943,1.955544123947348,3.8415,False,False,False
Guangzhou Automobile,3,0.6800129743884358,0.833851656578777,True,7.1660408490550385,15.4943,0.5140622278428524,3.8415,False,False,False
Air China,8,0.011686301838550718,0.05277212051235543,False,16.501589883155148,15.4943,6.585158214444046,3.8415,True,True,False
China Southern Airlines,11,0.02401660508978216,0.06873185890515965,False,26.49418847975896,15.4943,9.101429045799916,3.8415,True,True,False
China Eastern Airlines,7,0.18187566579402742,0.1171103507528633,True,13.266300102742552,15.4943,4.97280023101962,3.8415,False,True,False
ZTE,6,0.0740301862754002,0.027272385681855013,False,24.93476079522032,15.4943,7.185368889348395,3.8415,True,True,False
Tsingtao Brewery,3,0.5592630741413744,0.2314282579788513,True,14.803727141078888,15.4943,2.207030063745581,3.8415,False,False,False
Chenming Paper,9,0.7963957115566963,0.9361697330773646,True,12.586468622917238,15.4943,0.09930034179339511,3.8415,False,False,False
Shandong Xinhua Pharma,9,0.06323092052736105,0.002191392389747959,False,26.719654337010656,15.4943,6.497369943821587,3.8415,True,True,False
Guangdong Kelon,2,0.4817879158781217,0.682362206038611,True,16.696545527635035,15.4943,1.5680573977618946,3.8415,True,False,True
Anhui Expressway,9,0.3971630246590168,0.8810491259103332,True,5.939370461376949,15.4943,0.15502407905104787,3.8415,False,False,False
China Shipping Dev,1,0.48471600586318103,0.641461363642329,True,10.664615275837184,15.4943,1.671519787224856,3.8415,False,False,False
Huadian Power,2,0.10467341733407454,0.2832625285943549,True,19.39320509928434,15.4943,5.099053556173517,3.8415,True,True,False
Guangzhou Pharmaceutical,2,0.04559907645592137,0.06961107387842332,False,29.512367902790043,15.4943,7.387514394337431,3.8415,True,True,False
Jiangsu Expressway,3,0.1122651352271502,0.09139570523915425,True,12.074651596282306,15.4943,4.653656765210053,3.8415,False,True,False
Shenzhen Expressway,9,0.0012069876596383232,0.003456738994074967,False,27.666473136715215,15.4943,9.021466316996024,3.8415,True,True,False
Guangzhou Shipyard,5,0.09235126846695724,0.16511721653229627,True,17.310688895042475,15.4943,5.970929039066856,3.8415,True,True,False
Nanjing Panda,6,0.015457130002431185,0.16061220022858114,False,17.10867384518118,15.4943,4.637930560802226,3.8415,True,True,False
Beiren Printing,5,0.17883696763096946,0.2512121615643086,True,12.714120734365274,15.4943,4.019920384944238,3.8415,False,True,False
Yizheng Chemical,2,0.5239396015744237,0.4688628270292197,True,15.553965580544295,15.4943,2.737613666896612,3.8415,True,False,True
Tianjin Capital Env.,3,0.20854396699496758,0.13289792193446626,True,11.783056504332833,15.4943,4.68311531165019,3.8415,False,True,False
Dongfang Electric,3,0.466340517520279,0.727136202266806,True,16.113361981065882,15.4943,1.5716418910352015,3.8415,True,False,True
Luoyang Glass,1,0.29278137254216285,0.12723801603517215,True,11.209704048203669,15.4943,4.124974965673973,3.8415,False,True,False
Chongqing Iron & Steel,1,0.40582880409763467,0.09300724242573283,True,19.51160051080209,15.4943,4.016119062752467,3.8415,True,True,False
China Railway Const.,12,0.12093206014989738,0.49721409783194465,True,13.994562828279768,15.4943,2.6052009714490576,3.8415,False,False,False
Beijing North Star,5,0.6240321876799994,0.9182114529255384,True,10.058304842176685,15.4943,0.22880385613145468,3.8415,False,False,False
China Oilfield Services,2,0.013964650741991868,0.007230180020522969,False,26.986294076757325,15.4943,10.529312907025817,3.8415,True,True,False
COSCO Shipping,4,0.4802717171173645,0.8567921127167986,True,16.379015488792486,15.4943,0.512146843686629,3.8415,True,False,True
China Shipping Container,1,0.33279585685725155,0.3036760730367409,True,20.21494307151324,15.4943,4.632569649406981,3.8415,True,True,False
Datang Power,12,0.5173923610759943,0.40044089742305056,True,14.794668122981204,15.4943,4.0705467505014274,3.8415,False,True,False
