name,tier,sector,n,start,mean,median,std,min,max,pct_neg,stale_a,stale_h,jumps
China Life,core,Insurance,2977,2014-01-02,0.9951327782624423,0.7192504164356368,0.7776204382915037,-0.23476646230872456,2.6655998671214265,0.07222035606315082,0,0,5
Great Wall Motor,core,Autos,2977,2014-01-02,0.9465348974744625,0.7533630447838557,0.5968805823148725,0.031883258338271325,3.099880652039846,0.0,20,14,13
China Comm. Construction,core,Industrials,2977,2014-01-02,0.9314764215434145,0.8841446662238193,0.4294228326963847,-0.1920299682985146,1.924884062486274,0.057440376217668794,0,3,12
Yanzhou Coal,core,Energy,2977,2014-01-02,0.8864990748517189,0.6958092140534287,0.5031817552606391,0.2556975236500889,2.797726360474212,0.0,0,0,21
China Shipping Dev,extended,Shipping,2977,2014-01-02,0.8460952320043312,0.8080307711710486,0.40934003964464744,-0.005449455890194077,2.1998209481965407,0.0003359086328518643,93,84,2
Dongfang Electric,extended,Industrials,2977,2014-01-02,0.8201770619717244,0.8661300218861021,0.3583014611024379,-0.1296931655447231,1.6324394946120484,0.0006718172657037286,75,0,14
China Coal Energy,core,Energy,2977,2014-01-02,0.734152990955256,0.7000131450046767,0.33127326695510323,0.11012652360074537,2.3611184379317582,0.0,0,12,6
Jiangxi Copper,core,Materials,2977,2014-01-02,0.7193261395169769,0.7441422389296071,0.21848715699571533,0.12071002754042026,1.4749843296597938,0.0,8,0,5
China Eastern Airlines,core,Airlines,2977,2014-01-02,0.7181580042809285,0.7425414273079554,0.3053753590568516,0.10690565881830949,1.711732761808066,0.0,29,19,12
New China Life,core,Insurance,2977,2014-01-02,0.7178909342568828,0.6603159804710654,0.3368162918197018,-0.017671366551819778,1.6159793018319206,0.002015451797111186,25,25,4
COSCO Shipping,extended,Shipping,2977,2014-01-02,0.6806160513832573,0.5739428812286371,0.4612226649203651,0.08520580035395509,3.13397303985413,0.0,144,81,19
Anhui Expressway,extended,Infrastructure,2977,2014-01-02,0.6802649104324832,0.5133636048217771,0.4772837539809663,0.07737175741955249,2.2186593837529522,0.0,8,6,15
Huaneng Power,core,Utilities,2977,2014-01-02,0.6707725646408509,0.6380566804118701,0.3971591828851776,-0.2154915447494924,1.712920267777391,0.08632851864292912,3,7,5
Maanshan Iron,core,Materials,2977,2014-01-02,0.6615216502676853,0.6470479048047117,0.434087340143076,-0.030659790768876594,2.084148138590936,0.004030903594222372,11,14,12
China Southern Airlines,core,Airlines,2977,2014-01-02,0.6600887758197791,0.6371314358513904,0.21734844762834615,0.12180124215440458,1.4985648742462367,0.0,3,0,13
CRRC,core,Industrials,2977,2014-01-02,0.6351202202202486,0.6293760055109454,0.34140179711924473,-0.24768903680134302,1.8261535096268644,0.07961034598589184,80,73,12
CNOOC,core,Energy,1019,2022-04-21,0.6340098401943155,0.6160145400549293,0.11472136449913134,0.40573042586864116,1.1208894829646572,0.0,0,0,0
Chalco,core,Materials,2977,2014-01-02,0.62994795741388,0.5712154795316473,0.331078709930083,0.05641508800856121,2.149984564860189,0.0,108,10,4
Guangdong Kelon,extended,Consumer,2977,2014-01-02,0.6099245449555226,0.5078342146026422,0.4298690446972425,0.013695462587736573,2.4841282912962885,0.0,0,0,16
PetroChina,core,Energy,2977,2014-01-02,0.5978438453476462,0.6262303061601295,0.2482142358373935,-0.12503644710526318,1.4110445628764703,0.027544507893852873,9,0,2
Huadian Power,extended,Utilities,2977,2014-01-02,0.5607796961172031,0.5790357087600975,0.28587541147931916,-0.1843105395021779,1.4903817130028414,0.051394020826335235,13,3,8
Air China,core,Airlines,2977,2014-01-02,0.5593694033802562,0.5608378970343089,0.2812964454961731,-0.13099526377811288,1.349914317950152,0.05878401074907625,20,20,6
China Railway Group,core,Industrials,2977,2014-01-02,0.5590136182677748,0.5780472173784283,0.30716735863922245,-0.1969214913482379,1.7110539129065483,0.06516627477326167,96,12,9
Guangzhou Pharmaceutical,extended,Healthcare,2977,2014-01-02,0.5553054610011342,0.5503050004293768,0.15675032731043542,0.17757677556510787,1.1204701941759114,0.0,69,27,5
Guangshen Railway,core,Industrials,2977,2014-01-02,0.5497026769004271,0.5663379303079064,0.2875086004203767,-0.07223098863291855,1.4073263169370764,0.015451797111185758,16,27,1
ZTE,core,Technology,2977,2014-01-02,0.5493749664764209,0.5553752198715365,0.2359471331294519,-0.04681394210393042,1.542095551371966,0.0053745381256298285,74,61,13
China Railway Const.,extended,Industrials,2977,2014-01-02,0.5459132558172348,0.5736359647054303,0.32895146528823516,-0.26371553201113784,1.2734612361369262,0.06550218340611354,9,6,8
Huatai Securities,core,Brokerage,2644,2015-06-01,0.5039761874163868,0.49807082426434646,0.1780762035881712,0.04845869276909953,0.9482981461505622,0.0,0,0,4
CITIC Bank,core,Banking,2977,2014-01-02,0.48237105077776715,0.4938038351945351,0.18277194284867726,0.035608149347356566,1.1979024648160537,0.0,22,0,3
Shenzhen Expressway,extended,Infrastructure,2977,2014-01-02,0.44754216772740646,0.4225785780932605,0.20213052150621533,0.03772111146910939,1.242287894099523,0.0,0,6,4
Zijin Mining,core,Materials,2977,2014-01-02,0.3731547290818833,0.32100297818971213,0.32935732249842115,-0.061287949110987006,1.9618062807068894,0.020490426603963722,34,26,4
CITIC Securities,core,Brokerage,2977,2014-01-02,0.33996490802312124,0.35082253613020886,0.2619483130927463,-0.2741044961024155,1.007586303239175,0.07457171649311388,14,0,8
Angang Steel,core,Materials,2977,2014-01-02,0.33421371247506804,0.3028051418545945,0.31012969358087505,-0.3100132161747269,1.306783173400576,0.11891165602955996,6,9,6
Minsheng Bank,core,Banking,2977,2014-01-02,0.31588939169657887,0.2810047760283101,0.1588070370046837,0.01219665013778548,0.6901170488360273,0.0,18,6,2
Tsingtao Brewery,core,Consumer,2977,2014-01-02,0.31076406409566026,0.3185345979665801,0.23278248462395537,-0.19366027619734671,0.9678081431933223,0.09103123950285523,0,0,3
China Pacific Insurance,core,Insurance,2977,2014-01-02,0.29987041772635487,0.3163489495328762,0.22357873971656458,-0.28660538990863516,0.9161210194303877,0.10278804165267047,3,0,3
China Shenhua,core,Energy,2977,2014-01-02,0.2849802392298831,0.3113147548792896,0.16757334565557505,-0.2280060341769532,0.7737653683220627,0.07692307692307693,73,0,12
BYD,core,Autos,2977,2014-01-02,0.2738323915527908,0.22907332872001374,0.21173098557285164,-0.07572216701351064,1.2631045507117031,0.022169969768223042,7,7,3
Bank of China,core,Banking,2977,2014-01-02,0.27228343535085703,0.2825053268878932,0.146263183864142,-0.10749166506737151,0.677809958397904,0.06516627477326167,52,22,4
Sinopec,core,Energy,2977,2014-01-02,0.26778176087580746,0.29225821187671275,0.181603519797938,-0.17653350348699104,0.651419118941778,0.07826671145448438,9,7,3
China Construction Bank,core,Banking,2977,2014-01-02,0.2490426558105122,0.2691924745551877,0.15810181807578846,-0.1430658590026883,0.6769001124789629,0.07255626469600268,0,0,4
Jiangsu Expressway,extended,Infrastructure,2977,2014-01-02,0.22188203524431283,0.20708925745790774,0.2749157711109834,-0.29134281347821267,1.074414465878307,0.25361101780315753,0,0,2
ICBC,core,Banking,2977,2014-01-02,0.19866990755283384,0.20556838226165564,0.14452805641229424,-0.16191062795697664,0.530822622414199,0.09203896540141082,0,3,2
Bank of Communications,core,Banking,2977,2014-01-02,0.19721090413179182,0.18346066739182332,0.11664495861339112,-0.12646058900907808,0.592555272060125,0.07087672153174336,18,6,3
Weichai Power,core,Industrials,2977,2014-01-02,0.11016391286215184,0.0964771525398922,0.15924160714335456,-0.3027451660577972,0.8353812947966037,0.20725562646960027,0,0,3
Anhui Conch Cement,core,Materials,2977,2014-01-02,0.07695964416124469,0.07803603358247102,0.18321755312639962,-0.4046669354078226,0.6442769525773475,0.4339939536446087,6,6,2
Ping An,core,Insurance,2977,2014-01-02,0.05269649228649478,0.04040884378008691,0.11347469034265924,-0.2730238870074623,0.45717564619509754,0.28350688612697345,0,0,1
China Merchants Bank,core,Banking,2977,2014-01-02,0.035400203327400855,0.03211618406071004,0.08712531225585061,-0.1798313655988878,0.40135126284493516,0.3584145112529392,3,3,1
