name,n,alpha,beta,se_beta,t_beta_eq_1,r2,eg_stat,eg_p,crit_5pct,naive_adf_p,eg_p_fdr,cointegrated
China Eastern Airlines,2977,0.6865987332487279,0.8704741533850766,0.011128532157784638,-11.639077353460078,0.6728386911586943,-2.3535348843053434,0.34716542193121674,-3.3381838953880143,0.15445263660249087,0.3837091505555553,False
ZTE,2977,0.014611981668382734,1.1394662267463507,0.009638986491753413,14.468972112957136,0.8244798955707995,-3.7847650066479064,0.014202988013297292,-3.3381838953880143,0.0030686195789289598,0.14913137413962158,False
Tsingtao Brewery,2977,-0.8125709759804887,1.2732815427731732,0.010263278397695636,26.627119735398754,0.8380189714483429,-2.67160578234826,0.20995668580159038,-3.3381838953880143,0.07826844216963504,0.278968641952347,False
Chenming Paper,2977,0.9988435644189864,0.7064769581567107,0.0038114905927862587,-77.01003969387193,0.9203081449308591,-2.758237705686795,0.179334710091462,-3.3381838953880143,0.06436740350714219,0.25106859412804683,False
Shandong Xinhua Pharma,2977,0.7292938265706937,1.1658432950109998,0.0160117806599612,10.357579742876748,0.6405497755265978,-2.926466024591234,0.1287353044636435,-3.3381838953880143,0.04238741705765637,0.19933302787240004,False
Guangdong Kelon,2977,1.221768168540141,0.6704417829362823,0.004837335584775698,-68.12804513726928,0.8658956628243477,-3.0674240266695265,0.09503487581146808,-3.3381838953880143,0.029046626803662948,0.18931184147823082,False
Anhui Expressway,2977,0.5578035889145427,0.9604817672153811,0.013073855811434306,-3.0226914962651246,0.644658561302754,-1.760660784192366,0.648626233577425,-3.3381838953880143,0.4000806483356788,0.6590879470222222,False
China Shipping Dev,2977,0.8120810553972473,0.8660419389517904,0.010061343322443617,-13.31413279073703,0.7135045133405393,-3.007880835510117,0.1083440942476564,-3.3381838953880143,0.03415529901731612,0.19769701466223286,False
Huadian Power,2977,0.9153962252188341,0.6154623186054167,0.009402698320418448,-40.89652441145961,0.5901909287038665,-2.652895443458632,0.216975610407381,-3.3381838953880143,0.08188984457840232,0.278968641952347,False
Guangzhou Pharmaceutical,2977,1.4065541011952032,0.6862601230843621,0.007641935709443693,-41.05502700420874,0.7305101301726258,-3.1927531001842278,0.07114810622748863,-3.3381838953880143,0.02044526238227187,0.1796764773409146,False
Jiangsu Expressway,2977,1.8273302454253915,0.25671749898661217,0.021926650819183602,-33.89858793952658,0.04404695938801473,-2.30524435406655,0.3709388351521086,-3.3381838953880143,0.16723288429210553,0.40291632094108354,False
Shenzhen Expressway,2977,0.6706599924675734,0.8409111186451115,0.011945715385064688,-13.317652080828228,0.6248597532454409,-3.321755041479919,0.051814694049613995,-3.3381838953880143,0.013902998167635638,0.1796764773409146,False
Guangzhou Shipyard,2977,1.7156432300313922,0.6722478588820253,0.009461095304809715,-34.64209275551384,0.6292215215515584,-3.070047800348584,0.09447851290417003,-3.3381838953880143,0.028426992664786016,0.18931184147823082,False
Nanjing Panda,2977,1.6163312151558393,0.5911195350518309,0.011625728283448853,-35.17030976289701,0.464956549244228,-3.464613020653598,0.03566396007168512,-3.3381838953880143,0.008960913191346892,0.1796764773409146,False
Beiren Printing,2977,1.425120306593989,0.8592007193488891,0.010737365917598463,-13.113018754473286,0.6827732952144061,-2.4289326611347883,0.31127707010515704,-3.3381838953880143,0.13394283142441105,0.3638637958650615,False
Yizheng Chemical,2977,1.1613628176404787,0.782940242388637,0.006917302791402192,-31.3792476861293,0.8115420936195479,-3.2211319198568322,0.06646437165094932,-3.3381838953880143,0.018819169394630592,0.1796764773409146,False
Tianjin Capital Env.,2977,0.996323013426054,0.9184847231556387,0.016659032629336816,-4.893157883658362,0.5053863134041098,-2.4115441811073586,0.31940704274618,-3.3381838953880143,0.13864294813731948,0.3646108066773702,False
Dongfang Electric,2977,1.2645222015886444,0.6853411078724218,0.005208782915735119,-60.409292769147825,0.8533525798836898,-3.704936755142469,0.018059332041866192,-3.3381838953880143,0.004049350967278894,0.16253398837679572,False
Luoyang Glass,2977,2.01542774028745,0.5596692906336934,0.012047459081878405,-36.54967461384824,0.4204284652934518,-1.442201974797265,0.78268198352012,-3.3381838953880143,0.5623799493172537,0.78268198352012,False
Chongqing Iron & Steel,2977,0.7008623731503558,0.7835026223608141,0.012181154901849562,-17.77314050955163,0.5817032538538467,-2.4015980150045566,0.32409849482432906,-3.3381838953880143,0.1414555879119176,0.3646108066773702,False
China Railway Const.,2977,1.066843769788669,0.6617862592583037,0.011566795791203538,-29.240054622465568,0.5238840149664111,-3.386265246154468,0.04389904638918848,-3.3381838953880143,0.010944376572811962,0.1796764773409146,False
Beijing North Star,2977,0.8752940063282971,0.7507384124442144,0.0058178671152488,-42.84415278280656,0.8484181390144703,-2.168139793122296,0.44084876813541196,-3.3381838953880143,0.2181766112459304,0.4628912065421826,False
China Oilfield Services,2977,1.670671824091641,0.530872047589065,0.009786340031195925,-47.93701740543404,0.4972669418507012,-2.981937240394404,0.11456167231891218,-3.3381838953880143,0.0366647648757375,0.19769701466223286,False
COSCO Shipping,2977,0.7981916818147835,0.8073957902476556,0.004921319855461725,-39.13669816412979,0.9004715605419884,-2.844075461480357,0.1520629929770515,-3.3381838953880143,0.051637017130199026,0.22278996645474988,False
China Shipping Container,2977,1.0277988782375254,0.8513774719789082,0.009226042445191552,-16.10902279108321,0.7410919057524633,-3.0896331054269472,0.09040401370192369,-3.3381838953880143,0.026678473807211025,0.18931184147823082,False
Datang Power,2977,0.9027176160764125,0.7447624400524215,0.007541707832870649,-33.84346962303706,0.7662459940454833,-2.6799985234412085,0.20685470586231558,-3.3381838953880143,0.07854618303289511,0.278968641952347,False
