name,adf_stat,adf_p,adf_lags,pp_stat,pp_p,kpss_stat,kpss_p,adf_p_fdr,pp_p_fdr,adf_rejects,pp_rejects,kpss_rejects,verdict
Huatai Securities,-2.4730573170950576,0.12216813786924363,11,-3.150838788528895,0.02301258221755293,1.7090942421850885,0.01,0.19631118935575043,0.08050946018871075,False,False,True,UNIT ROOT
Sinopec,-2.6871768621194803,0.07628363875797593,6,-2.8668695425542845,0.049338489346512644,5.838184107254664,0.01,0.16058764836281933,0.09419166147970595,False,False,True,UNIT ROOT
PetroChina,-2.306429085530587,0.16990284685194051,13,-2.6602412877167,0.08117454164786686,1.3209338061827716,0.01,0.2326930293841794,0.1306141952509418,False,False,True,UNIT ROOT
CNOOC,-2.723173294558801,0.07011340052774853,13,-3.50355070985339,0.007896371194099899,3.1752287832823223,0.01,0.15775515118743422,0.05224574364788756,False,False,True,UNIT ROOT
China Shenhua,-2.8550935264599415,0.05082476584361105,18,-3.3639778290114735,0.012249900907052656,1.7062891265644333,0.01,0.1392156629629346,0.06431197976202645,False,False,True,UNIT ROOT
China Coal Energy,-2.1919528966989086,0.20917904448200253,14,-2.457787012721651,0.12608584681378027,1.7314137239971066,0.01,0.2635655960473232,0.18053200793791266,False,False,True,UNIT ROOT
Yanzhou Coal,-2.33021680562835,0.1624075379757846,12,-2.4230052928197274,0.13534832511126005,2.5750323563404263,0.01,0.23253806573805524,0.18891511866693123,False,False,True,UNIT ROOT
Huaneng Power,-2.6035116329153873,0.09227365420465256,8,-2.3922514677550812,0.14393532850813806,4.0255975939361885,0.01,0.16993781922985174,0.18891511866693123,False,False,True,UNIT ROOT
Zijin Mining,-1.4980363699110721,0.534482494025307,28,-1.8109796736907766,0.375024376349323,7.270978215576864,0.01,0.5431031794128119,0.38107315661302177,False,False,True,UNIT ROOT
Chalco,-2.9170135781613493,0.04340501998301649,2,-2.9468102493402415,0.040169129829278706,1.3426707638583653,0.01,0.1340811318340009,0.0903805421158771,False,False,True,UNIT ROOT
Jiangxi Copper,-3.409412241147198,0.010642163282684672,3,-3.4882899595134056,0.008292975182204374,0.9030469507215023,0.01,0.09870849993093679,0.05224574364788756,False,False,True,UNIT ROOT
Anhui Conch Cement,-2.5420515603324487,0.10557501068175851,20,-2.261680077710695,0.18462480076290672,6.694927410182141,0.01,0.17976285602569692,0.22806593035417888,False,False,True,UNIT ROOT
Angang Steel,-2.0915812883514304,0.2479132550163889,9,-2.3262219041650636,0.16365028405917348,3.18625716858713,0.01,0.3003564435775481,0.2104075080760802,False,False,True,UNIT ROOT
Maanshan Iron,-2.0519733659857686,0.2642593771136383,25,-2.392461791944235,0.14387532565842254,1.6357706443957085,0.01,0.30866882467771983,0.18891511866693123,False,False,True,UNIT ROOT
Shanghai Petrochemical,-2.1041985623733064,0.24282969347662875,5,-2.142434156663658,0.22779732130300512,3.9132952005574477,0.01,0.29996609194171786,0.26093147712889675,False,False,True,UNIT ROOT
CRRC,-2.794450413151878,0.05907087013655459,10,-2.666614784981768,0.07999566710555261,1.4591601134106906,0.01,0.1427500243773775,0.1306141952509418,False,False,True,UNIT ROOT
China Railway Group,-3.2206249236075655,0.01882144052192446,5,-3.1130016051876033,0.025605854191749308,0.9453777974603963,0.01,0.09870849993093679,0.08065844070401032,False,False,True,UNIT ROOT
China Comm. Construction,-3.1079704549234295,0.025968934549892464,24,-3.223005252928453,0.018691070635544794,4.140949221105711,0.01,0.11686020547451609,0.07812916486244455,False,False,True,UNIT ROOT
