name,lags,adf_p_la,adf_p_lh,both_I1,trace_r0,crit_r0,trace_r1,crit_r1,rej_r0,rej_r1,margin_r0,valid_coint
Air China,8,0.010862969399354539,0.04056841214422134,False,17.130554298029896,15.4943,7.216381133375752,3.8415,True,True,0.10560362830395016,False
China Southern Airlines,11,0.020355673256196513,0.060162402214318546,False,27.064484578767082,15.4943,9.764144132574133,3.8415,True,True,0.7467381281353195,False
China Eastern Airlines,7,0.15468819328776062,0.09425997431290006,True,13.548398567798607,15.4943,5.482147391520235,3.8415,False,True,-0.12558821193609224,False
ZTE,6,0.09754876599734097,0.0660944327244291,True,23.931136627556857,15.4943,6.62024519662251,3.8415,True,True,0.5445122804874603,False
Tsingtao Brewery,3,0.5985684262773514,0.3250303546008135,True,16.1220395566852,15.4943,2.0814029717617886,3.8415,True,False,0.04051422501727716,True
Chenming Paper,9,0.6730566341667592,0.8664961100347308,True,12.739982502410726,15.4943,0.4243935893894122,3.8415,False,False,-0.1777632740807442,False
Shandong Xinhua Pharma,9,0.08703254978089137,0.022277257756311057,False,20.58832994862385,15.4943,6.984121797846684,3.8415,True,True,0.3287679952384974,False
Guangdong Kelon,2,0.6922794636166535,0.8367989007472935,True,15.475397948753914,15.4943,0.6509478242881344,3.8415,False,False,-0.001219935798718698,False
Anhui Expressway,9,0.55782331190615,0.9743864640657929,True,5.293680207573166,15.4943,0.058177317767041783,3.8415,False,False,-0.6583466043917334,False
China Shipping Dev,1,0.5958359979790671,0.9435548795704464,True,9.421024332956993,15.4943,0.5968518706299422,3.8415,False,False,-0.3919683797940538,False
Huadian Power,2,0.1254734553394496,0.43102408509295687,True,17.463614224094865,15.4943,2.9804863397747554,3.8415,True,False,0.1270992703184309,True
Guangzhou Pharmaceutical,2,0.007479618926781768,0.012311314566135458,False,33.00984583929817,15.4943,11.30527207368061,3.8415,True,True,1.1304509296514311,False
Jiangsu Expressway,3,0.42319398956865373,0.40165061744677555,True,13.033246773392483,15.4943,3.402684624991125,3.8415,False,False,-0.15883603819517617,False
Shenzhen Expressway,9,0.014247192290950709,0.020464032848244045,False,23.5279502834106,15.4943,8.089635498506436,3.8415,True,True,0.5184906890540779,False
Guangzhou Shipyard,5,0.08090687126705864,0.17587897771990685,True,17.08615437185275,15.4943,5.803308256748717,3.8415,True,True,0.10273806314920642,False
Nanjing Panda,6,0.011703521583548268,0.09105384616750861,False,18.22063600039883,15.4943,5.7276517033937235,3.8415,True,True,0.17595735208423932,False
Beiren Printing,5,0.17883696763096946,0.2512121615643086,True,12.714120734365274,15.4943,4.019920384944238,3.8415,False,True,-0.1794323890485357,False
Yizheng Chemical,2,0.5239396015744237,0.4688628270292197,True,15.553965580544295,15.4943,2.737613666896612,3.8415,True,False,0.003850808396913334,True
Tianjin Capital Env.,3,0.10224504242349103,0.1408129813556031,True,10.598804358673618,15.4943,3.246272086033967,3.8415,False,False,-0.3159546182355048,False
Dongfang Electric,3,0.5884093682834001,0.8514084344368187,True,16.001013899451443,15.4943,0.7368635837252434,3.8415,True,False,0.03270324567430878,True
Luoyang Glass,1,0.29278137254216285,0.12723801603517215,True,11.209704048203669,15.4943,4.124974965673973,3.8415,False,True,-0.2765272359381406,False
Chongqing Iron & Steel,1,0.40582880409763467,0.09300724242573283,True,19.51160051080209,15.4943,4.016119062752467,3.8415,True,True,0.25927602478344225,False
China Railway Const.,12,0.014815971389540196,0.11356543308743333,False,17.28027330789068,15.4943,5.39634981386797,3.8415,True,True,0.11526647269580945,False
Beijing North Star,5,0.4771431485187984,0.83476841642698,True,9.83036507349755,15.4943,0.6411702591150942,3.8415,False,False,-0.36554958446024993,False
China Oilfield Services,2,0.01433144214994914,0.0067969250144002055,False,26.875740292657206,15.4943,10.8256333896811,3.8415,True,True,0.7345565977589955,False
COSCO Shipping,12,0.7298824774056499,0.9627245116641728,True,10.706573906341559,15.4943,0.01590810357444808,3.8415,False,False,-0.3089991863884423,False
China Shipping Container,3,0.2241360495085159,0.22417634384692453,True,17.6661041967486,15.4943,6.280947331043999,3.8415,True,True,0.1401679454217743,False
Datang Power,12,0.5420545565337279,0.4863006524629748,True,17.19434766075987,15.4943,4.001677001283272,3.8415,True,True,0.10972084319781271,False
