name,group,phi,t_phi_eq_1,half_life
ZTE,A-H,0.9875480668691001,-4.445457903870739,55.31853165831126
Tsingtao Brewery,A-H,0.9940466868585838,-3.110455187347909,116.08357392108867
Chenming Paper,A-H,0.996092464593478,-2.1685862405156255,177.04050669393826
Shandong Xinhua Pharma,A-H,0.994355208126594,-2.9028503865258006,122.44720700845961
Guangdong Kelon,A-H,0.9937125672118998,-3.084034716047131,109.89633687353361
Anhui Expressway,A-H,0.995711421848645,-2.5465072629943126,161.27951586288467
China Shipping Dev,A-H,0.9939763430042368,-3.1758105925239435,114.72390250741813
Huadian Power,A-H,0.9935973013056971,-3.108217664968646,107.91165283963666
Guangzhou Pharmaceutical,A-H,0.9832885675127158,-5.07670909748348,41.12987754414317
Jiangsu Expressway,A-H,0.996290361386627,-2.571748354733512,186.50353673923559
Shenzhen Expressway,A-H,0.9895305047731066,-3.998805353233847,65.85917948882869
Guangzhou Shipyard,A-H,0.9922436183911499,-3.6794630250719798,89.01773658801167
Nanjing Panda,A-H,0.993293605676069,-3.1487206924554956,103.0092000835625
Beiren Printing,A-H,0.991719717106551,-3.5138195374544368,83.36351369023019
Yizheng Chemical,A-H,0.9920270493490936,-3.50726888583587,86.59031143118162
Tianjin Capital Env.,A-H,0.995555858801142,-2.4872833844035642,155.6219265484143
Dongfang Electric,A-H,0.9928937981612994,-3.3263702499323755,97.1941758842555
Luoyang Glass,A-H,0.9971645914539493,-2.059875393234904,244.11439358981917
Chongqing Iron & Steel,A-H,0.9916745158855547,-3.5445688425705058,82.90902459012689
China Railway Const.,A-H,0.9951455088815954,-3.150352973189432,142.4378705685371
Beijing North Star,A-H,0.9949876998460723,-2.674384660750989,137.9423764834969
China Oilfield Services,A-H,0.9933996144176485,-3.4088841621611143,104.66920876878423
COSCO Shipping,A-H,0.9954384931739075,-2.6061276619829945,151.608910059677
China Shipping Container,A-H,0.9925332871899797,-3.633040105331716,92.48463148829424
Datang Power,A-H,0.9927562452862162,-3.2711375657649064,95.34194238228176
Alibaba,H-ADR,0.04023078751289248,-38.49172562458549,0.21572384294202124
JD.com,H-ADR,0.09710373660720656,-34.79520998301212,0.29723605742567927
NetEase,H-ADR,0.05282797557082144,-36.43858827213699,0.23570707285766468
Baidu,H-ADR,0.12786546337983765,-31.556475316012204,0.3370065415508486
Bilibili,H-ADR,0.05586960196763863,-33.88250111290011,0.24028107228359522
Li Auto,H-ADR,0.09483813115260822,-31.39219543254029,0.2942570768001263
XPeng,H-ADR,0.0320971556589856,-33.82198480172413,0.20155557637015656
NIO,H-ADR,0.07988154550415849,-30.155253539250875,0.27427363163235735
Trip.com,H-ADR,0.07527674017588039,-33.06130778998215,0.2679778260304827
Yum China,H-ADR,0.09683741753510632,-34.14319416049917,0.2968864111450138
Weibo,H-ADR,0.13525663901381102,-29.15659958827513,0.3464728921812709
BeiGene,H-ADR,0.15795594346165162,-37.353129015605134,0.375600133140472
Zai Lab,H-ADR,0.10085928522322188,-33.87636923152816,0.30215276089160703
Autohome,H-ADR,0.17219489289359477,-30.232461859489597,0.39402877133101466
New Oriental Ed.,H-ADR,0.01595906897408778,-36.51842342678193,0.16751878726763353
ZTO Express,H-ADR,0.1839043671221578,-31.087185267751995,0.40933741953979336
Baozun,H-ADR,0.2035160685048998,-30.47309534950196,0.43539113620932796
Miniso,H-ADR,0.14349354047637283,-27.058444815692056,0.3570227061150413
Qifu Technology,H-ADR,0.291311596826239,-22.116708206983244,0.5619982535776838
H World (Huazhu),H-ADR,0.09735855379293809,-34.03031867783762,0.2975704752616828
